_id,dob,lan,tweet_id,Checked
Ashleyisalive,7/1/2015,en,Ashleyisalive/status/560566334162239489,
Victoia_XIII,5/2/2015,en,Victoia_XIII/status/563682145181650944,
LizGordonCanlas ,10/12/2014,en,LizGordonCanlas /status/542922815889223680,
BridezillaMarty,19/11/2014,en,BridezillaMarty/status/535873797824716800,
emmapayn7,16/11/2014,en,emmapayn7/status/534328987770580992,
AnitaHeeg,12/10/2014,en,HeegSytse/status/522055456618192897,
walkerbuffyLFC,26/08/2014,en,walkerbuffyLFC/status/503980126582104064,
ajwiseman09,1/10/2014,en,ajwiseman09/status/517567858357063680,
KarolinaSky,4/9/2014,en,KarolinaSky/status/507581094095380480,
_Georgethecat,29/8/2014,en,_Georgethecat/status/506794113032028162,
SereneOnScene,17/2/2015,en,ereneOnScene/status/569206141642788864,
Prettyfield0923,29/1/2015,en,Prettyfield0923/status/565295518252036097,
placate123,28/1/2015,en,kentsuits/status/560887132873818112,
Meg02129,26/1/2015,en,Meg02129/status/560119131899695104,
KazzcGillan,24/1/2015,en,KazzcGillan/status/559813699007807488,
swallowMEtweets,24/1/2015,en,swallowMEtweets/status/559103207566503937,
ToddlerSlave,16/1/2015,en,ToddlerSlave/status/556013255588859904,
ohmy_jaee,11/1/2015,en,ohmy_jaee/status/554300180498231296,
RenaeDeLiz,8/1/2015,en,RayDillon/status/553401115014742016,
marissuss,4/1/2015,en,marissuss/status/551892537183436800,
FreshStitches,4/1/2015,en,FreshStitches/status/551880108496392192,
KatieKinslow,29/12/2014,en,KatieKinslow/status/550712102592450560,
MommaTBlog,23/12/2014,en,MommaTBlog/status/549635927229079552,
SoCalBri12,19/12/2014,en,SoCalBri12/status/546798990474227712,
Tinny1_4_3,15/12/2014,en,Tinny1_4_3/status/544590586385559552,
GourmetMum,2/12/2014,en,GourmetMum/status/544589603311611904,
Graceann_Branch,11/12/2014,en,Graceann_Branch/status/543236156129689601,
TinsleyJennifer,8/12/2014,en,TinsleyJennifer/status/543144102716784641,
NikkieMoncrief,9/12/2014,en,NikkieMoncrief/status/542551654642372608,
nicole_frei,15/12/2014,en,nicole_frei/status/541109006857949184,
LoveVanessaLynn,11/11/2014,en,LoveVanessaLynn/status/532460908594085888,
MommaCanuck,14/12/2014,en,MommaCanuck/status/543241571148120064,
RobynRidpath,29/10/2014,en,RobynRidpath/status/527955792537067520,
Daniella1W,26/10/2014,en,Daniella1W/status/526409483632013312,
emmalou13,23/10/2014,en,emmalou13/status/525394484457390084,
LifesaBowl,18/10/2014,en,LifesaBowl/status/523774466149871616,
_ellie2015,9/4/2014,en,_ellie2015/status/520332583339827200,
TweetsByKristen,3/10/2014,en,TweetsByKristen/status/518489781945524224,
celery_cupcakes,3/10/2014,en,celery_cupcakes/status/518366573875441664,
ButterCYellow,19/09/2014,en,ButterCYellow/status/516427963458658304,
LuminousChista,14/09/2014,en,LuminousChista/status/514136450359910400,
samkettle85,21/09/2014,en,chrisgreatwich/status/514016707984113664,
amberleonen,20/09/2014,en,amberleonen/status/513319941131735040,
TracyHiggs,20/09/2014,en,TracyHiggs/status/513239560776859648,
mrsamyski,28/07/2014,en,Ski_KC/status/493844900777979904,
macey_fit,23/07/2014,en,macey_fit/status/492036431423229952,
TeenTeacherLA,4/7/2014,en,TeenTeacherLA/status/486995833339256832,
dizzyblonde18,7/6/2014,en,dizzyblonde18/status/485825003963682816,
JordanRae87,4/7/2014,en,jaredsparks/status/485098883622518784,
teachkate,18/06/2014,en,teachkate/status/482614209054654466,
dahleeezy,24/04/2014,en,dahleeezy/status/481568781051760640,
NicoKartel,18/04/2014,en,NicoKartel/status/457148883475652608,
Amandeen,16/2/2015,fr,Amandeen/status/568769601766604800,
onglerie2movgui,15/08/2014,fr,onglerie2movgui/status/500421128041803776,
Karisa_Shaffer,15/01/2014,en,Karisa_Shaffer/status/558701401434779648,
tikalmay,29/11/2013,en,tikalmay/status/406597287276998657,
chocobea,12/9/2014,fr,chocobea/status/510340573040230401,
nmillanotero,14/10/2014,es,HoracioJSerpa/status/523285559276748801,////// Enough for now :))
satchapretto,12/7/2014,es,satchapretto/status/488494283981586432,
bbmeetstheworld,24/11/2014,fr,bbmeetstheworld/status/536922031204208642,
Petite_Mam,14/01/2015,fr,Petite_Mam/status/568436140983902208,
trukmus,17/02/2013,fr,trukmus/status/303283854565851136,
